國文,英文,數學,社會,自然
9,6,11,13,14
14,15,10,14,13
9,7,9,14,6
14,8,9,12,9
6,13,10,7,15
15,15,8,10,11
10,11,9,9,8
15,14,13,15,15
15,12,9,9,13
14,12,7,12,10
11,15,11,14,7
12,11,11,7,12
11,7,15,9,8
14,15,15,7,6
11,8,13,12,10
10,14,9,9,14
15,14,6,9,8
10,10,8,15,12
6,6,8,14,12
14,14,9,7,15
14,9,10,10,9
11,15,12,15,6
7,15,8,11,8
10,8,13,8,9
15,7,12,12,13
15,13,13,12,8
10,9,8,10,8
10,13,15,13,11
13,10,8,7,6
8,14,8,6,12
11,10,9,7,15
9,14,11,12,12
10,15,6,15,9
6,10,9,10,8
11,13,9,13,7
6,15,12,10,10
11,12,11,15,6
13,12,7,10,11
13,11,11,13,11
11,7,13,13,11
10,8,12,15,13
11,14,14,8,12
14,15,15,9,7
11,12,7,12,14
9,6,7,9,11
14,9,15,13,11
12,8,15,8,12
10,15,14,10,7
6,8,10,7,15
13,15,10,9,11
15,15,9,14,15
7,14,7,13,7
7,8,13,6,9
11,9,11,10,15
7,12,14,9,12
13,7,15,13,8
11,9,7,15,13
11,6,8,15,12
9,7,10,11,15
9,7,11,13,12
10,15,10,7,10
11,8,13,7,15
6,12,6,9,6
13,10,8,11,12
10,15,6,11,14
12,10,12,11,9
12,6,13,14,7
10,15,14,7,15
6,6,11,11,10
11,12,10,8,7
8,8,15,13,9
10,8,7,6,7
9,14,13,10,6
15,11,9,13,11
12,8,14,15,7
7,15,13,7,11
10,6,8,9,14
10,12,14,9,7
7,8,7,11,15
7,9,11,12,8
14,8,8,14,12
7,11,8,10,6
12,14,14,11,10
12,6,8,13,15
11,11,12,15,15
10,12,15,15,12
14,10,8,10,8
12,9,13,11,10
11,13,11,8,10
8,9,13,11,11
8,7,13,6,9
12,8,9,15,10
9,10,14,15,6
9,8,6,14,10
10,14,9,10,7
13,15,12,12,12
11,11,9,12,9
6,7,10,8,14
13,10,6,8,11
9,9,10,7,9
